Day,public_information_campaigns,stay_home_requirements,close_public_transport,cancel_public_events,testing_policy,stringency_index,vaccination_policy,facial_coverings,total_vaccinations,people_vaccinated,people_fully_vaccinated,mobility_driving,mobility_walking,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3499999999999943,-0.8199999999999932,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.959999999999994,4.079999999999998,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.769999999999996,7.409999999999997,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64,13.909999999999997,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.84,28.02000000000001,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.400000000000006,13.39,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.829999999999998,7.909999999999997,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,4.549999999999997,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0799999999999983,5.829999999999998,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6700000000000017,3.4000000000000057,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.519999999999996,9.909999999999997,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,1.0,0.0,0.0,0.0,1.0,5.56,0.0,0.0,0.0,0.0,0.0,25.459999999999994,21.159999999999997,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,16.769999999999996,11.0,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,6.810000000000002,10.659999999999997,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,6.159999999999997,6.980000000000004,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,14.930000000000007,11.349999999999994,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,15.400000000000006,10.409999999999997,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-31,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,22.459999999999994,17.08,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-01,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,31.49000000000001,25.959999999999994,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-02,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,19.28,13.760000000000005,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,1.0,2.0,0.0,0.0,0.0,0.0
2020-02-03,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,8.719999999999999,10.569999999999993,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,1.0,3.0,0.0,0.0,0.0,0.0
2020-02-04,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,11.319999999999993,13.230000000000004,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-05,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,5.920000000000002,11.120000000000005,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-06,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,10.799999999999997,12.760000000000005,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-07,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,26.790000000000006,21.709999999999994,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-08,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,37.97999999999999,31.52000000000001,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-09,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,33.389999999999986,24.040000000000006,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-10,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,9.319999999999993,11.180000000000007,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-11,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,8.379999999999995,10.370000000000005,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-12,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,15.120000000000005,14.14,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,0.0,0.0,0.0
2020-02-13,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,15.599999999999994,13.439999999999998,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,1.0,1.0,0.0,0.0
2020-02-14,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,36.80000000000001,26.819999999999993,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,1.0,0.0,0.0
2020-02-15,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,41.22,28.870000000000005,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,0.0,1.0,0.0,0.0
2020-02-16,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,34.78,23.879999999999995,-41.19088123515439,-3.744617577197144,13.019121140142515,-27.015608076009496,-33.823334916864596,-26.076095011876486,0.0,3.0,1.0,2.0,0.0,0.0
2020-02-17,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,10.739999999999995,12.459999999999994,0.667,1.6669999999999998,0.0,2.0,3.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0
2020-02-18,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,9.829999999999998,11.89,0.5,1.75,0.0,2.0,3.25,3.0,0.0,3.0,0.0,2.0,0.0,0.0
2020-02-19,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,11.829999999999998,11.099999999999994,0.4,1.8,0.2,1.8,2.8,3.2,0.0,3.0,0.0,2.0,0.0,0.0
2020-02-20,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,19.25,10.89,0.5,2.0,0.0,2.333,3.167,3.333,0.0,3.0,1.0,3.0,0.0,0.0
2020-02-21,1.0,1.0,0.0,0.0,1.0,10.19,0.0,0.0,0.0,0.0,0.0,26.090000000000003,18.269999999999996,-0.14300000000000002,1.714,0.7140000000000001,1.429,3.571,0.14300000000000002,0.0,3.0,0.0,3.0,0.0,0.0
