,date,location,new_cases,stringency_index,population,nomalized_new_cases
0,2020-03-15,Afghanistan,1.0,38.89,38928341.0,2.5688225449936335e-08
1,2020-03-16,Afghanistan,2.0,38.89,38928341.0,5.137645089987267e-08
2,2020-03-17,Afghanistan,2.0,38.89,38928341.0,5.137645089987267e-08
3,2020-03-18,Afghanistan,4.0,41.67,38928341.0,1.0275290179974534e-07
4,2020-03-19,Afghanistan,1.0,41.67,38928341.0,2.5688225449936335e-08
5,2020-03-20,Afghanistan,4.0,41.67,38928341.0,1.0275290179974534e-07
6,2020-03-21,Afghanistan,1.0,41.67,38928341.0,2.5688225449936335e-08
7,2020-03-22,Afghanistan,4.0,41.67,38928341.0,1.0275290179974534e-07
8,2020-03-23,Afghanistan,7.0,41.67,38928341.0,1.7981757814955431e-07
9,2020-03-24,Afghanistan,2.0,50.93,38928341.0,5.137645089987267e-08
10,2020-03-25,Afghanistan,33.0,59.26,38928341.0,8.477114398478991e-07
11,2020-03-26,Afghanistan,4.0,59.26,38928341.0,1.0275290179974534e-07
12,2020-03-27,Afghanistan,11.0,59.26,38928341.0,2.825704799492997e-07
13,2020-03-28,Afghanistan,16.0,67.59,38928341.0,4.1101160719898136e-07
14,2020-03-29,Afghanistan,11.0,67.59,38928341.0,2.825704799492997e-07
15,2020-03-30,Afghanistan,28.0,67.59,38928341.0,7.192703125982173e-07
16,2020-03-31,Afghanistan,29.0,67.59,38928341.0,7.449585380481536e-07
17,2020-04-01,Afghanistan,22.0,67.59,38928341.0,5.651409598985994e-07
18,2020-04-02,Afghanistan,43.0,67.59,38928341.0,1.1045936943472623e-06
19,2020-04-03,Afghanistan,35.0,67.59,38928341.0,8.990878907477716e-07
20,2020-04-04,Afghanistan,25.0,67.59,38928341.0,6.422056362484084e-07
21,2020-04-05,Afghanistan,38.0,78.7,38928341.0,9.761525670975808e-07
22,2020-04-06,Afghanistan,30.0,78.7,38928341.0,7.7064676349809e-07
23,2020-04-07,Afghanistan,56.0,78.7,38928341.0,1.4385406251964345e-06
24,2020-04-08,Afghanistan,21.0,78.7,38928341.0,5.394527344486629e-07
25,2020-04-09,Afghanistan,40.0,78.7,38928341.0,1.027529017997453e-06
26,2020-04-10,Afghanistan,47.0,78.7,38928341.0,1.2073465961470078e-06
27,2020-04-11,Afghanistan,24.0,78.7,38928341.0,6.16517410798472e-07
28,2020-04-12,Afghanistan,52.0,84.26,38928341.0,1.3357877233966893e-06
29,2020-04-13,Afghanistan,58.0,84.26,38928341.0,1.4899170760963072e-06
30,2020-04-14,Afghanistan,49.0,84.26,38928341.0,1.2587230470468805e-06
31,2020-04-15,Afghanistan,70.0,84.26,38928341.0,1.7981757814955432e-06
32,2020-04-16,Afghanistan,56.0,84.26,38928341.0,1.4385406251964345e-06
33,2020-04-17,Afghanistan,66.0,84.26,38928341.0,1.6954228796957982e-06
34,2020-04-18,Afghanistan,27.0,84.26,38928341.0,6.93582087148281e-07
35,2020-04-19,Afghanistan,63.0,84.26,38928341.0,1.618358203345989e-06
36,2020-04-20,Afghanistan,30.0,84.26,38928341.0,7.7064676349809e-07
37,2020-04-21,Afghanistan,66.0,84.26,38928341.0,1.6954228796957982e-06
38,2020-04-22,Afghanistan,84.0,84.26,38928341.0,2.1578109377946517e-06
39,2020-04-23,Afghanistan,59.0,84.26,38928341.0,1.5156053015462437e-06
40,2020-04-24,Afghanistan,95.0,84.26,38928341.0,2.4403814177439518e-06
41,2020-04-25,Afghanistan,133.0,84.26,38928341.0,3.4165339848415317e-06
42,2020-04-26,Afghanistan,68.0,84.26,38928341.0,1.746799330595671e-06
43,2020-04-27,Afghanistan,172.0,84.26,38928341.0,4.418374777389048e-06
44,2020-04-28,Afghanistan,126.0,84.26,38928341.0,3.236716406691978e-06
45,2020-04-29,Afghanistan,110.0,84.26,38928341.0,2.825704799492996e-06
46,2020-04-30,Afghanistan,187.0,84.26,38928341.0,4.8036981591380935e-06
47,2020-05-01,Afghanistan,164.0,84.26,38928341.0,4.212868973789558e-06
48,2020-05-02,Afghanistan,179.0,84.26,38928341.0,4.598192355538604e-06
49,2020-05-03,Afghanistan,235.0,84.26,38928341.0,6.036732980735037e-06
50,2020-05-04,Afghanistan,190.0,84.26,38928341.0,4.8807628354879036e-06
51,2020-05-05,Afghanistan,330.0,84.26,38928341.0,8.47711439847899e-06
52,2020-05-06,Afghanistan,168.0,84.26,38928341.0,4.315621875589303e-06
53,2020-05-07,Afghanistan,171.0,84.26,38928341.0,4.3926865519391125e-06
54,2020-05-08,Afghanistan,217.0,84.26,38928341.0,5.574344922636185e-06
55,2020-05-09,Afghanistan,261.0,84.26,38928341.0,6.704626842433383e-06
56,2020-05-10,Afghanistan,361.0,84.26,38928341.0,9.273449387427016e-06
57,2020-05-11,Afghanistan,284.0,84.26,38928341.0,7.295456027781919e-06
58,2020-05-12,Afghanistan,281.0,84.26,38928341.0,7.2183913514321095e-06
59,2020-05-13,Afghanistan,259.0,84.26,38928341.0,6.65325039153351e-06
60,2020-05-14,Afghanistan,413.0,84.26,38928341.0,1.0609237110823703e-05
61,2020-05-15,Afghanistan,414.0,84.26,38928341.0,1.0634925336273642e-05
62,2020-05-16,Afghanistan,349.0,84.26,38928341.0,8.965190682027781e-06
63,2020-05-17,Afghanistan,262.0,84.26,38928341.0,6.730315067883319e-06
64,2020-05-18,Afghanistan,408.0,84.26,38928341.0,1.0480795983574024e-05
