,Unnamed: 0_x,date,location,new_cases,stringency_index,population,nomalized_new_cases,Unnamed: 0_y,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,2425,2020-03-15,Argentina,11.0,25.0,45195777.0,2.433855711784754e-07,8036,-29.0,17.0,-44.0,-17.0,-10.0,9.0
1,2426,2020-03-16,Argentina,11.0,41.67,45195777.0,2.433855711784754e-07,8037,-27.0,8.0,-39.0,-17.0,1.0,6.0
2,2427,2020-03-17,Argentina,12.0,41.67,45195777.0,2.6551153219470037e-07,8038,-41.0,-11.0,-54.0,-32.0,-12.0,11.0
3,2428,2020-03-18,Argentina,11.0,41.67,45195777.0,2.433855711784754e-07,8039,-43.0,-11.0,-49.0,-35.0,-19.0,12.0
4,2429,2020-03-19,Argentina,18.0,75.0,45195777.0,3.982672982920506e-07,8040,-42.0,5.0,-55.0,-35.0,-24.0,13.0
5,2430,2020-03-20,Argentina,31.0,88.89,45195777.0,6.859047915029761e-07,8041,-78.0,-40.0,-80.0,-72.0,-61.0,29.0
6,2431,2020-03-21,Argentina,30.0,88.89,45195777.0,6.637788304867509e-07,8042,-83.0,-49.0,-85.0,-75.0,-57.0,28.0
7,2432,2020-03-22,Argentina,108.0,88.89,45195777.0,2.3896037897523042e-06,8043,-87.0,-61.0,-90.0,-81.0,-58.0,27.0
8,2433,2020-03-23,Argentina,35.0,100.0,45195777.0,7.744086355678762e-07,8044,-88.0,-64.0,-88.0,-85.0,-79.0,32.0
9,2434,2020-03-24,Argentina,86.0,100.0,45195777.0,1.902832647395353e-06,8045,-88.0,-64.0,-88.0,-85.0,-79.0,31.0
10,2435,2020-03-25,Argentina,0.0,100.0,45195777.0,0.0,8046,-82.0,-50.0,-82.0,-77.0,-68.0,28.0
11,2436,2020-03-26,Argentina,115.0,100.0,45195777.0,2.544485516865879e-06,8047,-83.0,-52.0,-84.0,-77.0,-68.0,30.0
12,2437,2020-03-27,Argentina,87.0,100.0,45195777.0,1.924958608411578e-06,8048,-81.0,-49.0,-82.0,-75.0,-67.0,32.0
13,2438,2020-03-28,Argentina,101.0,100.0,45195777.0,2.234722062638728e-06,8049,-82.0,-48.0,-84.0,-75.0,-59.0,29.0
14,2439,2020-03-29,Argentina,55.0,100.0,45195777.0,1.2169278558923768e-06,8050,-86.0,-61.0,-89.0,-80.0,-57.0,27.0
15,2440,2020-03-30,Argentina,75.0,100.0,45195777.0,1.6594470762168775e-06,8051,-81.0,-51.0,-83.0,-77.0,-68.0,28.0
16,2441,2020-03-31,Argentina,234.0,100.0,45195777.0,5.177474877796658e-06,8052,-85.0,-59.0,-85.0,-82.0,-76.0,30.0
17,2442,2020-04-01,Argentina,0.0,100.0,45195777.0,0.0,8053,-79.0,-46.0,-79.0,-75.0,-64.0,27.0
18,2443,2020-04-02,Argentina,79.0,100.0,45195777.0,1.7479509202817777e-06,8054,-79.0,-47.0,-81.0,-74.0,-64.0,29.0
19,2444,2020-04-03,Argentina,132.0,100.0,45195777.0,2.920626854141705e-06,8055,-77.0,-41.0,-78.0,-71.0,-62.0,31.0
20,2445,2020-04-04,Argentina,186.0,100.0,45195777.0,4.115428749017857e-06,8056,-77.0,-41.0,-81.0,-71.0,-54.0,27.0
21,2446,2020-04-05,Argentina,0.0,100.0,45195777.0,0.0,8057,-83.0,-54.0,-87.0,-76.0,-52.0,26.0
22,2447,2020-04-06,Argentina,103.0,100.0,45195777.0,2.2789739846711785e-06,8058,-75.0,-41.0,-77.0,-70.0,-60.0,26.0
23,2448,2020-04-07,Argentina,74.0,100.0,45195777.0,1.6373211152006526e-06,8059,-82.0,-30.0,-72.0,-64.0,-59.0,25.0
24,2449,2020-04-08,Argentina,87.0,100.0,45195777.0,1.924958608411578e-06,8060,-82.0,-28.0,-69.0,-63.0,-58.0,24.0
25,2450,2020-04-09,Argentina,80.0,100.0,45195777.0,1.7700768812980026e-06,8061,-83.0,-30.0,-75.0,-67.0,-63.0,27.0
26,2451,2020-04-10,Argentina,180.0,100.0,45195777.0,3.982672982920506e-06,8062,-90.0,-58.0,-85.0,-79.0,-76.0,35.0
27,2452,2020-04-11,Argentina,0.0,100.0,45195777.0,0.0,8063,-84.0,-34.0,-80.0,-67.0,-52.0,27.0
28,2453,2020-04-12,Argentina,167.0,100.0,45195777.0,3.695035489709581e-06,8064,-87.0,-51.0,-86.0,-74.0,-49.0,25.0
29,2454,2020-04-13,Argentina,66.0,100.0,45195777.0,1.4603134270708525e-06,8065,-83.0,-40.0,-74.0,-67.0,-55.0,25.0
30,2455,2020-04-14,Argentina,69.0,100.0,45195777.0,1.5266913101195273e-06,8066,-81.0,-31.0,-70.0,-63.0,-54.0,24.0
31,2456,2020-04-15,Argentina,166.0,100.0,45195777.0,3.672909528693357e-06,8067,-81.0,-31.0,-70.0,-62.0,-53.0,24.0
32,2457,2020-04-16,Argentina,128.0,100.0,45195777.0,2.8321230100768045e-06,8068,-83.0,-31.0,-92.0,-61.0,-53.0,26.0
33,2458,2020-04-17,Argentina,98.0,100.0,45195777.0,2.1683441795900532e-06,8069,-83.0,-29.0,-92.0,-61.0,-52.0,28.0
34,2459,2020-04-18,Argentina,89.0,100.0,45195777.0,1.9692105304440282e-06,8070,-85.0,-36.0,-94.0,-65.0,-45.0,26.0
35,2460,2020-04-19,Argentina,81.0,100.0,45195777.0,1.7922028423142277e-06,8071,-89.0,-53.0,-95.0,-73.0,-48.0,25.0
36,2461,2020-04-20,Argentina,102.0,100.0,45195777.0,2.256848023654953e-06,8072,-83.0,-37.0,-92.0,-62.0,-49.0,24.0
37,2462,2020-04-21,Argentina,90.0,100.0,45195777.0,1.991336491460253e-06,8073,-82.0,-34.0,-92.0,-61.0,-50.0,23.0
38,2463,2020-04-22,Argentina,113.0,100.0,45195777.0,2.5002335948334286e-06,8074,-83.0,-34.0,-91.0,-61.0,-49.0,23.0
39,2464,2020-04-23,Argentina,291.0,100.0,45195777.0,6.438654655721485e-06,8075,-83.0,-35.0,-92.0,-62.0,-49.0,24.0
40,2465,2020-04-24,Argentina,172.0,100.0,45195777.0,3.805665294790706e-06,8076,-83.0,-34.0,-92.0,-63.0,-48.0,27.0
41,2466,2020-04-25,Argentina,173.0,100.0,45195777.0,3.827791255806931e-06,8077,-86.0,-39.0,-94.0,-68.0,-44.0,26.0
42,2467,2020-04-26,Argentina,112.0,98.15,45195777.0,2.478107633817204e-06,8078,-88.0,-52.0,-95.0,-72.0,-47.0,25.0
43,2468,2020-04-27,Argentina,111.0,88.89,45195777.0,2.4559816728009792e-06,8079,-84.0,-40.0,-93.0,-64.0,-47.0,24.0
44,2469,2020-04-28,Argentina,124.0,88.89,45195777.0,2.7436191660119044e-06,8080,-84.0,-41.0,-92.0,-68.0,-49.0,20.0
45,2470,2020-04-29,Argentina,158.0,88.89,45195777.0,3.4959018405635558e-06,8081,-80.0,-27.0,-90.0,-57.0,-44.0,21.0
46,2471,2020-04-30,Argentina,143.0,88.89,45195777.0,3.1640124253201803e-06,8082,-75.0,-20.0,-90.0,-56.0,-44.0,22.0
47,2472,2020-05-01,Argentina,104.0,88.89,45195777.0,2.301099945687404e-06,8083,-90.0,-71.0,-94.0,-78.0,-73.0,33.0
48,2473,2020-05-02,Argentina,149.0,88.89,45195777.0,3.29676819141753e-06,8084,-79.0,-26.0,-93.0,-60.0,-39.0,24.0
49,2474,2020-05-03,Argentina,102.0,88.89,45195777.0,2.256848023654953e-06,8085,-86.0,-48.0,-95.0,-71.0,-42.0,24.0
50,2475,2020-05-04,Argentina,104.0,88.89,45195777.0,2.301099945687404e-06,8086,-77.0,-32.0,-91.0,-61.0,-42.0,21.0
51,2476,2020-05-05,Argentina,133.0,88.89,45195777.0,2.9427528151579294e-06,8087,-76.0,-28.0,-90.0,-58.0,-43.0,21.0
52,2477,2020-05-06,Argentina,188.0,88.89,45195777.0,4.159680671050306e-06,8088,-75.0,-25.0,-89.0,-55.0,-40.0,20.0
53,2478,2020-05-07,Argentina,163.0,88.89,45195777.0,3.6065316456446806e-06,8089,-73.0,-23.0,-89.0,-55.0,-40.0,21.0
54,2479,2020-05-08,Argentina,240.0,88.89,45195777.0,5.3102306438940076e-06,8090,-72.0,-18.0,-89.0,-53.0,-38.0,23.0
55,2480,2020-05-09,Argentina,165.0,88.89,45195777.0,3.650783567677131e-06,8091,-75.0,-20.0,-91.0,-53.0,-31.0,21.0
56,2481,2020-05-10,Argentina,258.0,88.89,45195777.0,5.7084979421860576e-06,8092,-82.0,-41.0,-93.0,-65.0,-35.0,21.0
57,2482,2020-05-11,Argentina,244.0,94.44,45195777.0,5.398734487958908e-06,8093,-71.0,-24.0,-88.0,-53.0,-36.0,19.0
58,2483,2020-05-12,Argentina,285.0,90.74,45195777.0,6.305898889624134e-06,8094,-70.0,-21.0,-88.0,-51.0,-36.0,19.0
59,2484,2020-05-13,Argentina,316.0,90.74,45195777.0,6.9918036811271115e-06,8095,-70.0,-22.0,-87.0,-52.0,-35.0,19.0
60,2485,2020-05-14,Argentina,255.0,90.74,45195777.0,5.642120059137384e-06,8096,-70.0,-23.0,-88.0,-53.0,-35.0,18.0
